iter	Passed	Remaining
1286	3580	24241
1287	3583	24237
1288	3585	24230
1289	3588	24226
1290	3590	24222
1291	3593	24220
1292	3596	24217
1293	3598	24213
1294	3601	24208
1295	3603	24203
1296	3606	24198
1297	3608	24193
1298	3611	24188
1299	3613	24183
1300	3616	24182
1301	3619	24179
1302	3622	24176
1303	3625	24176
1304	3628	24176
1305	3631	24175
1306	3634	24170
1307	3636	24166
1308	3639	24165
1309	3642	24165
1310	3645	24161
1311	3648	24158
1312	3650	24155
1313	3653	24153
1314	3656	24151
1315	3659	24147
1316	3661	24141
1317	3664	24138
1318	3666	24132
1319	3669	24128
1320	3671	24125
1321	3674	24122
1322	3677	24119
1323	3680	24115
1324	3683	24115
1325	3686	24116
1326	3689	24116
1327	3692	24112
1328	3695	24111
1329	3698	24112
1330	3701	24109
1331	3704	24105
1332	3706	24099
1333	3709	24095
1334	3712	24095
1335	3715	24092
1336	3717	24089
1337	3720	24086
1338	3723	24082
1339	3726	24080
1340	3728	24076
1341	3731	24071
1342	3733	24066
1343	3736	24062
1344	3738	24058
1345	3741	24054
1346	3743	24049
1347	3746	24049
1348	3749	24047
1349	3752	24043
1350	3755	24042
1351	3758	24039
1352	3762	24046
1353	3766	24050
1354	3769	24051
1355	3773	24053
1356	3776	24050
1357	3778	24046
1358	3781	24042
1359	3784	24039
1360	3786	24034
1361	3788	24030
1362	3791	24026
1363	3794	24025
1364	3799	24035
1365	3802	24035
1366	3805	24035
1367	3808	24034
1368	3812	24034
1369	3815	24033
1370	3817	24028
1371	3820	24025
1372	3823	24022
1373	3825	24017
1374	3828	24012
1375	3830	24008
1376	3833	24006
1377	3836	24004
1378	3839	24000
1379	3842	23999
1380	3845	23999
1381	3849	24002
1382	3852	24000
1383	3855	23999
1384	3857	23995
1385	3860	23991
1386	3862	23986
1387	3865	23984
1388	3868	23983
1389	3871	23981
1390	3874	23978
1391	3876	23974
1392	3879	23968
1393	3881	23964
1394	3884	23960
1395	3886	23956
1396	3889	23953
1397	3892	23952
1398	3895	23949
1399	3898	23945
1400	3900	23942
1401	3904	23942
1402	3907	23940
1403	3909	23938
1404	3912	23935
1405	3915	23932
1406	3918	23928
1407	3920	23924
1408	3923	23919
1409	3925	23914
1410	3928	23910
1411	3930	23906
1412	3933	23903
1413	3936	23902
1414	3939	23903
1415	3943	23903
1416	3950	23926
1417	3955	23936
1418	3958	23936
1419	3961	23934
1420	3964	23933
1421	3966	23930
1422	3969	23924
1423	3971	23919
1424	3974	23915
1425	3977	23914
1426	3979	23910
1427	3982	23906
1428	3984	23900
1429	3987	23897
1430	3989	23892
1431	3992	23888
1432	3995	23885
1433	3998	23883
1434	4000	23878
1435	4003	23875
1436	4005	23870
1437	4008	23865
1438	4010	23860
1439	4013	23856
1440	4015	23852
1441	4018	23850
1442	4021	23847
1443	4024	23845
1444	4026	23840
1445	4029	23836
1446	4035	23851
1447	4039	23857
1448	4043	23861
1449	4046	23861
1450	4049	23859
1451	4052	23857
1452	4054	23852
1453	4057	23849
1454	4060	23846
1455	4063	23845
1456	4066	23842
1457	4068	23838
1458	4071	23835
1459	4074	23831
1460	4076	23828
1461	4079	23824
1462	4082	23822
1463	4085	23820
1464	4088	23816
1465	4090	23813
1466	4093	23809
1467	4095	23805
1468	4098	23800
1469	4100	23795
1470	4103	23790
1471	4105	23786
1472	4108	23784
1473	4111	23782
1474	4114	23778
1475	4116	23773
1476	4119	23769
1477	4121	23765
1478	4124	23760
1479	4126	23756
1480	4129	23752
1481	4131	23748
1482	4134	23744
1483	4137	23742
1484	4140	23741
1485	4143	23737
1486	4145	23734
1487	4148	23729
1488	4150	23723
1489	4152	23718
1490	4155	23715
1491	4158	23711
1492	4161	23709
1493	4163	23706
1494	4166	23704
1495	4169	23699
1496	4171	23695
1497	4174	23691
1498	4177	23689
1499	4179	23685
1500	4182	23684
1501	4185	23682
1502	4189	23681
1503	4192	23680
1504	4194	23676
1505	4197	23673
1506	4199	23669
1507	4202	23664
1508	4204	23660
1509	4207	23655
1510	4210	23654
1511	4213	23654
1512	4216	23653
1513	4219	23647
1514	4221	23643
1515	4224	23639
1516	4227	23638
1517	4230	23639
1518	4233	23638
1519	4236	23636
1520	4239	23633
1521	4242	23631
1522	4245	23628
1523	4247	23624
1524	4250	23621
1525	4253	23618
1526	4255	23613
1527	4258	23609
1528	4260	23605
1529	4263	23601
1530	4265	23597
1531	4268	23594
1532	4271	23592
1533	4274	23592
1534	4277	23587
1535	4280	23587
1536	4283	23585
1537	4286	23584
1538	4289	23580
1539	4291	23576
1540	4294	23572
1541	4296	23569
1542	4299	23565
1543	4302	23563
1544	4305	23561
1545	4308	23559
1546	4311	23556
1547	4313	23552
1548	4316	23548
1549	4318	23544
1550	4321	23540
1551	4323	23536
1552	4326	23533
1553	4329	23533
1554	4333	23532
1555	4335	23530
1556	4339	23529
1557	4342	23531
1558	4345	23527
1559	4348	23523
1560	4350	23520
1561	4353	23518
1562	4356	23515
1563	4359	23512
1564	4361	23510
1565	4364	23507
1566	4367	23505
1567	4370	23504
1568	4373	23501
1569	4376	23497
1570	4378	23492
1571	4381	23489
1572	4383	23484
1573	4386	23481
1574	4389	23479
1575	4392	23477
1576	4394	23473
1577	4397	23467
1578	4399	23461
1579	4401	23457
1580	4404	23453
1581	4406	23449
1582	4409	23447
1583	4412	23444
1584	4415	23443
1585	4418	23442
1586	4421	23440
1587	4424	23438
1588	4427	23434
1589	4430	23431
1590	4432	23429
1591	4435	23428
1592	4439	23430
1593	4442	23429
1594	4445	23425
1595	4447	23420
1596	4450	23416
1597	4452	23412
1598	4455	23409
1599	4458	23405
1600	4460	23401
1601	4463	23397
1602	4466	23394
1603	4468	23390
1604	4471	23388
1605	4474	23386
1606	4477	23383
1607	4480	23381
1608	4483	23379
1609	4486	23377
1610	4489	23375
1611	4491	23373
